GEOID,Poverty,Low Birth Weight,PM2.5,disadvantage
6019001100,76.3,7.44,15.4,Yes
6071001600,72.5,7.04,13.31,Yes
6019000200,86.8,10.16,15.4,Yes
6077000801,61.3,6.23,12.54,Yes
6019001500,66.4,4.5,15.4,Yes
6037204920,66.4,7.35,12.89,Yes
6077000300,76.2,8.36,13.44,Yes
6019001000,74.5,7.83,15.4,Yes
6037206050,75.7,6.71,12.89,Yes
6019000400,83.4,4.79,15.4,Yes
6099002100,78.3,5.37,12.89,Yes
6029002500,73.8,6.28,19.18,Yes
6019000600,89.5,7.87,15.4,Yes
6019001201,70.7,5.28,15.4,Yes
6037205120,78.3,5.14,12.89,Yes
6019000902,77.5,9.24,15.4,Yes
6037291220,53.4,6.54,12.05,Yes
6019001202,77.8,4.94,15.4,Yes
6019000800,76.5,8.9,15.4,Yes
6019000300,78.7,8.12,15.4,Yes
6037239202,76.3,7,12.47,Yes
6037226002,65.3,5.71,12.89,Yes
6077000700,79.5,4.25,13.5,Yes
6019000901,80.8,9.09,15.4,Yes
6077000100,86,6.53,13.53,Yes
6099002302,73.5,5.42,12.89,Yes
6071004900,74,5.97,12.47,Yes
6037535400,75.4,5.27,12.05,Yes
6019000700,65.6,9.84,15.4,Yes
6065030300,56.2,7.11,12.89,Yes
6019007100,71.2,5.92,15.82,Yes
6037243100,76,9.99,12.05,Yes
6037543305,34.1,10,11.63,Yes
6071005701,89.3,8.97,12.05,Yes
6037204600,71,5.81,12.89,Yes
6037227010,72.2,6.04,12.89,Yes
6099002301,65.6,5.5,12.89,Yes
6077001900,75.5,5.1,13.61,Yes
6037206032,69.2,4.17,12.89,Yes
6037226001,79.3,6.16,12.89,Yes
6037239501,72.2,7.41,12.05,Yes
6019002000,80.7,8.44,15.4,Yes
6077005119,34.7,6.3,12.05,Yes
6037203100,76.1,5.17,12.89,Yes
6037530700,54.3,8,12.47,Yes
6073005000,82.8,5.4,11.21,Yes
6037301601,49.9,6.33,12.05,Yes
6037185320,65.6,7.05,12.89,Yes
6037543202,62.9,5.2,12.05,Yes
6065030502,64.8,6.69,12.89,Yes
6071012500,70,7.47,12.47,Yes
6037531302,65.6,5.19,12.47,Yes
6019001301,82.7,6.59,15.4,Yes
6019002502,87.5,7.2,15.4,Yes
6037402801,71.8,6.36,12.89,Yes
6019001304,81.4,6.17,15.4,Yes
6077002201,68.3,9.28,12.85,Yes
6037532304,47.7,5.29,12.05,Yes
6019001303,92.1,7.93,15.4,Yes
6029002200,80.6,8.2,19.6,Yes
6037205110,78.8,5.45,12.89,Yes
6037570502,45.2,7.45,11.63,Yes
6037291210,53,6.18,12.05,Yes
6037219901,74.8,6.1,12.05,Yes
6037534202,75.4,6.44,12.05,Yes
6037540400,80.2,4.68,12.05,Yes
6065046700,67.8,6.75,12.89,Yes
6029002301,76.3,6.29,19.6,Yes
6071002501,50,6.02,13.31,Yes
6019008502,74.7,5.83,16.24,Yes
6019000502,80.7,8.32,15.4,Yes
6037242100,87.2,5.87,12.05,Yes
6037203500,56.5,4.36,12.89,Yes
6037302401,49.4,5.78,12.05,Yes
6067005301,90.8,14.89,9.53630303,Yes
6037204820,50.7,5.71,12.89,Yes
6037532302,60.2,4.51,12.47,Yes
6073004900,72.6,5.61,11.21,Yes
6037229420,71.3,6.91,12.89,Yes
6037541001,47.2,6.6,12.05,Yes
6099002200,76.4,5.84,12.89,Yes
6037534302,65.4,7.49,12.05,Yes
6073003902,76.6,4.96,11.21,Yes
6037239701,79.2,8.41,12.05,Yes
6077002300,74.9,5.59,13.09,Yes
6037570301,52.6,7.08,12.05,Yes
6071012400,57.9,5.48,12.05,Yes
6037128302,71.6,7.47,11.21,Yes
6037242700,85.5,7.7,12.05,Yes
6065031300,63.4,5.41,12.05,Yes
6071007000,66.9,5.72,12.47,Yes
6037533001,74.7,6.19,12.05,Yes
6037121222,70.8,7.03,12.05,Yes
6037532800,76.3,7.53,12.47,Yes
6037239601,77.2,5.57,12.05,Yes
6037575401,79.1,6.19,11.21,Yes
6077002401,72.1,5.27,12.98,Yes
6037534201,70.9,4.54,12.05,Yes
6037122410,73.8,5.37,12.05,Yes
6037239702,73,8.92,12.05,Yes
6073003601,74.5,5.69,11.21,Yes
6037228100,76.2,4.9,12.89,Yes
6037292000,56.7,5.95,12.05,Yes
6037434001,63.6,5.13,12.05,Yes
6037122122,55.4,5,12.05,Yes
6099001500,54.6,4.38,12.89,Yes
6037242600,88.1,7.05,12.05,Yes
6077000900,57.3,7.32,13.44,Yes
6037228900,84.8,7.2,12.47,Yes
6037433302,78.4,4.63,11.63,Yes
6099001400,61.4,5.38,12.89,Yes
6099002402,82.2,5.9,12.89,Yes
6071005600,84.6,7.48,12.05,Yes
6019003001,57.2,6.61,15.4,Yes
6037402304,74.3,4.69,12.47,Yes
6037122420,57.4,7.22,12.05,Yes
6037536103,42.3,5.48,12.05,Yes
6037199700,66.4,6.56,12.89,Yes
6019006802,69.1,6.25,16.24,Yes
6029002100,71.6,7.65,19.18,Yes
6037219902,54.6,6.46,12.05,Yes
6037206300,94.9,9.89,12.89,Yes
6037123206,64.6,6.25,12.05,Yes
6077000600,80.6,7.01,13.61,Yes
6065030104,44.9,5.59,12.89,Yes
6071004004,54.9,6.69,12.89,Yes
6037540901,58.5,8.61,12.05,Yes
6037532603,77,5.56,12.05,Yes
6029002400,62.8,4.55,19.6,Yes
6065042505,74.2,6.98,12.89,Yes
6071002204,56,4.6,13.31,Yes
6037239502,67.1,6.83,12.05,Yes
6019003805,77.3,6.12,15.4,Yes
6037553601,47.9,7.26,12.05,Yes
6037402804,68.5,6.14,12.89,Yes
6019001800,42.9,6.38,15.4,Yes
6071001813,68.1,5.43,12.89,Yes
6037534301,61.1,5.8,12.05,Yes
6037206200,72.2,8.86,12.89,Yes
6037432801,61.8,5.96,11.21,Yes
6037601600,51.3,6.04,12.05,Yes
6037229410,86.6,5.06,12.89,Yes
6037601401,53.7,8.42,12.05,Yes
6037239602,83.1,5.12,12.05,Yes
6037127400,70.2,7.36,10.79,Yes
6037302302,48.5,4.71,12.05,Yes
6037228800,74.7,5.89,12.89,Yes
6071005500,82.1,6.55,12.05,Yes
6037533002,57.9,6.28,12.05,Yes
6037543100,35.5,6.11,12.05,Yes
6037575801,84.3,6.05,11.21,Yes
6077001500,63.3,7.44,13.53,Yes
6037532900,81.2,5.37,12.05,Yes
6029002302,72,5.86,19.6,Yes
6037291130,40.7,6.35,12.05,Yes
6037553701,61.6,5.22,12.05,Yes
6037535101,64.8,6.72,12.05,Yes
6019002601,75.4,6.9,15.4,Yes
6071001309,51.1,6.18,12.89,Yes
6099001800,62.8,4.73,12.89,Yes
6037535200,74.7,7.62,12.05,Yes
6037203300,56.6,4.88,12.89,Yes
6037404703,63.5,4.56,11.63,Yes
6037242200,70,5.93,12.05,Yes
6037535603,49.5,8.04,12.05,Yes
