GEOID,totp,medincome,pmale,pwhite,pblk,pasn,phisp,poor,punemp,pcol,p65old,NAME,lifeexp,popd,parks,envind,costb,hins
6067000100,3637,84918,0.4204014297497938,0.7701402254605444,0.02144624690679131,0.056365136101182295,0.10310695628265054,Low,0.02304964539007092,0.5835843373493976,0.15837228485015123,Other,82.5,4743.79,4,15,0.17800000000000002,0.060599999999999994
6067000200,3541,67553,0.4529793843547021,0.7636260943236374,0,0.05591640779440836,0.1293419937870658,Low,0.06652126499454744,0.5735085227272727,0.14374470488562552,Sacramento,81.7,5993.14,4,15,0.22,0.0721
6067000300,2965,71695,0.41585160202360877,0.8404721753794266,0.014839797639123103,0.00775716694772344,0.12445193929173694,Low,0.030136986301369864,0.5344982078853047,0.14232715008431704,Sacramento,81.9,5630.61,9,14,0.193,0.0483
6067000400,3966,41685,0.4800806858295512,0.6959152798789713,0.04261220373171962,0.04059505799293999,0.1828038325769037,Low,0.0631258162821071,0.47860593512767424,0.049420070600100854,Sacramento,83.3,9735,12,6,0.19399999999999998,0.20370000000000002
6067000500,3609,32998,0.457190357439734,0.5375450263230812,0.09919645331116653,0.03269603768356886,0.2970351898032696,Low,0.08396501457725948,0.3881475667189953,0.0684400110834026,Sacramento,78.71533333333333,9447.17,13,5,0.252,0.2143
6067000600,1092,31134,0.5283882783882784,0.4990842490842491,0.21611721611721613,0.12545787545787546,0.06227106227106227,Mid,0.09226932668329177,0.37376586741889983,0.0641025641025641,Sacramento,77.6,7152.15,11,7,0.24600000000000002,0.13369999999999999
6067000700,2736,11833,0.764985380116959,0.31396198830409355,0.26169590643274854,0.15533625730994152,0.21162280701754385,Low,0.34513274336283184,0.08842297174111212,0.15350877192982457,Sacramento,78.71533333333333,15416.9,15,3,0.244540192926045,0.0527
6067000800,1242,40365,0.5394524959742351,0.8309178743961353,0.030595813204508857,0.09581320450885668,0.03542673107890499,Low,0.04599659284497445,0.5186794092093832,0.3896940418679549,Sacramento,78.71533333333333,7051.63,14,4,0.287,0.1014
6067001101,1605,17209,0.5682242990654206,0.6953271028037383,0.09595015576323987,0.07102803738317758,0.08224299065420561,Mid,0.07671232876712329,0.36292054402290624,0.06292834890965732,Sacramento,68.5,3377.6,25,0,0.301,0.1467
6067001200,3395,35474,0.5843888070692195,0.5466863033873343,0.14197349042709867,0.0662739322533137,0.17702503681885126,Low,0.09642147117296222,0.4029535864978903,0.10927835051546392,Sacramento,78.71533333333333,12730.19,12,5,0.285,0.15
6067001300,2995,37792,0.5826377295492488,0.6240400667779633,0.06310517529215359,0.06176961602671119,0.2023372287145242,Low,0.14800389483933787,0.39747496734871574,0.02971619365609349,Sacramento,80.5,9819.36,8,2,0.21,0.22649999999999998
6067001400,2684,39132,0.5011177347242921,0.7570789865871833,0.03390461997019374,0.03502235469448584,0.12816691505216096,Low,0.07049965776865161,0.4730232558139535,0.15797317436661698,Sacramento,75,8043.79,12,5,0.179,0.16899999999999998
6067001500,4177,73140,0.39885084989226716,0.7845343548000958,0.0038305003591094086,0.05506344266219775,0.07708881972707685,Low,0.057571964956195244,0.5969714618520675,0.15944457744792914,Sacramento,79.9,6420.83,5,12,0.223,0.0626
6067001600,4748,70313,0.4860994102780118,0.7601095197978096,0.013689974726200505,0.06887110362257792,0.09667228306655434,Low,0.06741573033707865,0.6178263077704419,0.15817186183656276,Sacramento,82.1,4605.07,7,15,0.22,0.06
6067001700,4987,42292,0.44515740926408665,0.6530980549428514,0.02526569079606978,0.08381792660918388,0.15500300782033286,Low,0.030927835051546393,0.40871862615587845,0.21515941447764186,Sacramento,80.6,3521.73,10,9,0.201,0.0889
6067001800,4883,39796,0.4851525701413066,0.41306573827565024,0.15297972557853778,0.04976448904362073,0.30882654106082325,Mid,0.15462962962962962,0.29411764705882354,0.06737661273807086,Sacramento,77.5,7066.05,7,9,0.28600000000000003,0.1754
6067001900,3235,41618,0.47820710973724884,0.5403400309119011,0.10850077279752705,0.05904173106646059,0.2268933539412674,Low,0.05452212957023733,0.2950751252086811,0.1394126738794436,Sacramento,77.7,6492.79,6,2,0.244,0.2115
6067002000,2552,28947,0.47962382445141066,0.34443573667711597,0.02664576802507837,0.5023510971786834,0.08463949843260188,Low,0.1025830258302583,0.2958762886597938,0.13479623824451412,Sacramento,78,5956.74,9,4,0.193,0.2005
6067002100,2984,45288,0.5164209115281502,0.3445040214477212,0.027144772117962467,0.27479892761394104,0.3042895442359249,Low,0.11272475795297372,0.16501486620416253,0.06568364611260054,Other,84.7,4235.29,13,2,0.20600000000000002,0.3012
6067002200,3489,28689,0.3777586701060476,0.3253081112066495,0.2737173975351104,0.12410432788764689,0.1994840928632846,Mid,0.14470493128536782,0.29206049149338376,0.10088850673545428,Other,80.1,4244.95,7,9,0.264,0.0693
6067002300,3071,77118,0.44285249104526214,0.8257896450667535,0,0.06610224682513839,0.0719635297948551,Low,0.03387916431394692,0.6823204419889503,0.1383914034516444,Sacramento,79.8,6738.13,6,10,0.213,0.0728
6067002400,4651,96540,0.44205547194151795,0.7226402924102343,0.012900451515803053,0.11008385293485272,0.09718340141904967,Low,0.034110535405872194,0.6823357664233577,0.14878520748226187,Sacramento,85.2,3523.49,7,14,0.177,0.0443
6067002500,1648,103929,0.4842233009708738,0.7615291262135923,0.025485436893203883,0.040655339805825245,0.13713592233009708,Low,0.05246589716684155,0.5977358490566038,0.1304611650485437,Sacramento,84.7,4175.82,7,14,0.188,0.0195
6067002600,2692,66125,0.5040861812778603,0.638187221396731,0.07020802377414562,0.009286775631500743,0.1801634472511144,Low,0.13504155124653738,0.37316263632053104,0.1151560178306092,Sacramento,77.7,6920.48,3,13,0.221,0.1208
6067002700,3740,27075,0.44732620320855615,0.3235294117647059,0.26176470588235295,0.06550802139037433,0.2796791443850267,Low,0.19010600706713782,0.14122448979591837,0.07647058823529412,Sacramento,76.1,6802.17,8,8,0.414,0.2208
6067002800,2294,35964,0.4119442022667829,0.11987794245858761,0.42763731473408895,0.05405405405405406,0.31734960767218834,Low,0.26917293233082706,0.061128526645768025,0.10941586748038361,Other,70.9,9219.21,7,15,0.275,0.19760000000000003
6067002900,4729,55000,0.4770564601395644,0.623176147176993,0.06449566504546415,0.048001691689574966,0.21674772679213364,Low,0.048792270531400964,0.34328782707622296,0.12624233453161346,Sacramento,86,5027.78,9,17,0.222,0.1352
6067003000,6126,54351,0.43046033300685604,0.505060398302318,0.06660137120470128,0.11916421808684297,0.23049298073783872,Low,0.1008174386920981,0.29421296296296295,0.13646751550767222,Sacramento,76.4,6583.86,9,18,0.221,0.1151
6067003101,2833,43294,0.5435933639251677,0.3879279915284151,0.06565478291563713,0.04835863042710907,0.39534062830921285,Low,0.16581632653061223,0.1506849315068493,0.1171902576773738,Sacramento,77.5,7351.74,3,25,0.22699999999999998,0.1505
6067003102,3014,43292,0.4654943596549436,0.40776376907763767,0.02687458526874585,0.0676841406768414,0.44459190444591906,Low,0.12320143884892086,0.16880451513596717,0.13702720637027208,Sacramento,74.3,6621.78,3,22,0.196,0.2809
6067003202,4973,33208,0.4960788256585562,0.2272270259400764,0.06776593605469536,0.3189221797707621,0.31510154836115023,Low,0.17123287671232876,0.10336081166772353,0.11099939674240901,Other,79.2,7911.07,4,24,0.22899999999999998,0.2078
6067003203,3223,32058,0.49736270555383183,0.05553831833695315,0.11728203537077257,0.3983865963388148,0.38194228979211914,Mid,0.10582010582010581,0.03304692663582287,0.0431275209432206,Sacramento,75.9,8410.54,4,32,0.37200000000000005,0.1869
6067003204,5997,29760,0.535434383858596,0.08404202101050526,0.05302651325662831,0.42938135734533933,0.4117058529264632,Mid,0.13865030674846626,0.06149388280746942,0.09004502251125562,Sacramento,81.1,8835.11,4,29,0.22899999999999998,0.2939
6067003300,3987,78229,0.472284926009531,0.5738650614497116,0.029345372460496615,0.2272385252069225,0.12089290193127665,Low,0.039137833238797506,0.5257630456186413,0.23501379483320792,Sacramento,83.4,4436.32,9,14,0.18100000000000002,0.0659
