GEOID,NAME,hisp,nhasn,nhblk,nhwhite,tpopr
6019001100,"Census Tract 11, Fresno County, California",2033,24,552,81,2760
6071001600,"Census Tract 16, San Bernardino County, California",5325,11,18,94,5527
6019000200,"Census Tract 2, Fresno County, California",1935,317,416,153,2870
6077000801,"Census Tract 8.01, San Joaquin County, California",4977,1083,400,389,7352
6019001500,"Census Tract 15, Fresno County, California",1868,36,25,541,2475
6037204920,"Census Tract 2049.20, Los Angeles County, California",2544,0,27,68,2639
6077000300,"Census Tract 3, San Joaquin County, California",1216,307,401,291,2240
6019001000,"Census Tract 10, Fresno County, California",2524,693,842,93,4231
6037206050,"Census Tract 2060.50, Los Angeles County, California",1550,183,112,127,2010
6019000400,"Census Tract 4, Fresno County, California",4770,633,106,422,5958
6099002100,"Census Tract 21, Stanislaus County, California",2216,15,91,705,3084
6029002500,"Census Tract 25, Kern County, California",6758,32,1369,842,9152
6019000600,"Census Tract 6, Fresno County, California",3601,124,554,857,5168
6019001201,"Census Tract 12.01, Fresno County, California",4482,540,207,192,5532
6037205120,"Census Tract 2051.20, Los Angeles County, California",3362,35,79,45,3521
6019000902,"Census Tract 9.02, Fresno County, California",3425,562,640,68,4791
6037291220,"Census Tract 2912.20, Los Angeles County, California",2553,585,267,193,3647
6019001202,"Census Tract 12.02, Fresno County, California",3654,828,328,92,4934
6019000800,"Census Tract 8, Fresno County, California",840,186,78,143,1254
6019000300,"Census Tract 3, Fresno County, California",2492,131,845,311,3936
6037239202,"Census Tract 2392.02, Los Angeles County, California",4914,0,693,17,5682
6037226002,"Census Tract 2260.02, Los Angeles County, California",746,125,214,560,1754
6077000700,"Census Tract 7, San Joaquin County, California",2948,665,244,193,4177
6019000901,"Census Tract 9.01, Fresno County, California",1829,318,671,40,3087
6077000100,"Census Tract 1, San Joaquin County, California",2132,377,911,473,4055
6099002302,"Census Tract 23.02, Stanislaus County, California",3342,92,4,583,4099
6071004900,"Census Tract 49, San Bernardino County, California",6721,74,453,368,7635
6037535400,"Census Tract 5354, Los Angeles County, California",3038,49,222,23,3345
6019000700,"Census Tract 7, Fresno County, California",2428,206,797,121,3646
6065030300,"Census Tract 303, Riverside County, California",2429,70,389,1234,4247
6019007100,"Census Tract 71, Fresno County, California",6977,199,21,529,7780
6037243100,"Census Tract 2431, Los Angeles County, California",4150,5,2163,160,6490
6037543305,"Census Tract 5433.05, Los Angeles County, California",1525,82,995,685,3356
6071005701,"Census Tract 57.01, San Bernardino County, California",1025,164,284,170,1643
6037204600,"Census Tract 2046, Los Angeles County, California",3852,70,70,119,4121
6037227010,"Census Tract 2270.10, Los Angeles County, California",5104,0,345,41,5552
6099002301,"Census Tract 23.01, Stanislaus County, California",6257,619,138,1492,8568
6077001900,"Census Tract 19, San Joaquin County, California",3769,16,789,332,4969
6037206032,"Census Tract 2060.32, Los Angeles County, California",3629,777,115,604,5185
6037226001,"Census Tract 2260.01, Los Angeles County, California",2286,0,230,5,2531
6037239501,"Census Tract 2395.01, Los Angeles County, California",2766,7,754,85,3622
6019002000,"Census Tract 20, Fresno County, California",4044,500,724,1067,6607
6077005119,"Census Tract 51.19, San Joaquin County, California",2592,3235,677,1744,8549
6037203100,"Census Tract 2031, Los Angeles County, California",4218,93,52,41,4426
6037530700,"Census Tract 5307, Los Angeles County, California",2260,41,0,49,2354
6073005000,"Census Tract 50, San Diego County, California",2014,22,116,208,2360
6037301601,"Census Tract 3016.01, Los Angeles County, California",1675,523,304,3945,6619
6037185320,"Census Tract 1853.20, Los Angeles County, California",2524,175,19,252,2970
6037543202,"Census Tract 5432.02, Los Angeles County, California",4360,87,784,37,5442
6065030502,"Census Tract 305.02, Riverside County, California",1806,0,90,168,2092
6071012500,"Census Tract 125, San Bernardino County, California",4544,0,72,387,5003
6037531302,"Census Tract 5313.02, Los Angeles County, California",6062,0,0,80,6142
6019001301,"Census Tract 13.01, Fresno County, California",4544,526,24,196,5327
6019002502,"Census Tract 25.02, Fresno County, California",2618,1221,19,316,4221
6037402801,"Census Tract 4028.01, Los Angeles County, California",4696,163,24,38,4921
6019001304,"Census Tract 13.04, Fresno County, California",3319,1132,512,125,5166
6077002201,"Census Tract 22.01, San Joaquin County, California",2091,73,468,85,2815
6037532304,"Census Tract 5323.04, Los Angeles County, California",3503,14,370,129,4176
6019001303,"Census Tract 13.03, Fresno County, California",1855,380,190,37,2541
6029002200,"Census Tract 22, Kern County, California",3593,36,1155,105,5038
6037205110,"Census Tract 2051.10, Los Angeles County, California",3632,122,28,79,3861
6037570502,"Census Tract 5705.02, Los Angeles County, California",3654,1177,532,856,6502
6037291210,"Census Tract 2912.10, Los Angeles County, California",3467,1005,604,338,5488
6037219901,"Census Tract 2199.01, Los Angeles County, California",3131,18,722,246,4165
6037534202,"Census Tract 5342.02, Los Angeles County, California",5127,27,13,332,5499
6037540400,"Census Tract 5404, Los Angeles County, California",2202,0,485,0,2687
6065046700,"Census Tract 467, Riverside County, California",3168,94,417,974,4667
6029002301,"Census Tract 23.01, Kern County, California",9310,109,164,850,10618
6071002501,"Census Tract 25.01, San Bernardino County, California",5981,40,297,549,6867
6019008502,"Census Tract 85.02, Fresno County, California",8963,11,0,172,9146
6019000502,"Census Tract 5.02, Fresno County, California",2639,136,64,569,3544
6037242100,"Census Tract 2421, Los Angeles County, California",2200,18,494,7,2778
6037203500,"Census Tract 2035, Los Angeles County, California",2335,442,9,192,2984
6037302401,"Census Tract 3024.01, Los Angeles County, California",1899,1026,209,3600,6734
6067005301,"Census Tract 53.01, Sacramento County, California",391,35,603,403,1462
6037204820,"Census Tract 2048.20, Los Angeles County, California",2052,1,43,50,2146
6037532302,"Census Tract 5323.02, Los Angeles County, California",4733,10,31,33,4819
6073004900,"Census Tract 49, San Diego County, California",4631,70,187,476,5391
6037229420,"Census Tract 2294.20, Los Angeles County, California",4512,6,400,16,4942
6037541001,"Census Tract 5410.01, Los Angeles County, California",370,129,650,37,1186
6099002200,"Census Tract 22, Stanislaus County, California",4628,389,236,1129,6542
6037534302,"Census Tract 5343.02, Los Angeles County, California",3447,13,54,54,3576
6073003902,"Census Tract 39.02, San Diego County, California",3567,32,336,120,4055
6037239701,"Census Tract 2397.01, Los Angeles County, California",4096,0,919,0,5015
6077002300,"Census Tract 23, San Joaquin County, California",3781,470,160,148,4632
6037570301,"Census Tract 5703.01, Los Angeles County, California",5148,601,903,505,7585
6071012400,"Census Tract 124, San Bernardino County, California",2669,31,135,390,3282
6037128302,"Census Tract 1283.02, Los Angeles County, California",3724,128,190,716,4832
6037242700,"Census Tract 2427, Los Angeles County, California",4630,51,1192,60,5945
6065031300,"Census Tract 313, Riverside County, California",2968,7,25,45,3066
6071007000,"Census Tract 70, San Bernardino County, California",5722,359,245,1046,7373
6037533001,"Census Tract 5330.01, Los Angeles County, California",3948,0,265,57,4270
6037121222,"Census Tract 1212.22, Los Angeles County, California",4737,266,59,280,5378
6037532800,"Census Tract 5328, Los Angeles County, California",4010,3,301,20,4334
6037239601,"Census Tract 2396.01, Los Angeles County, California",2879,8,664,22,3629
6037575401,"Census Tract 5754.01, Los Angeles County, California",3976,132,378,301,4853
6077002401,"Census Tract 24.01, San Joaquin County, California",3470,1024,127,365,5155
6037534201,"Census Tract 5342.01, Los Angeles County, California",4552,12,38,163,4785
6037122410,"Census Tract 1224.10, Los Angeles County, California",2871,130,96,486,3588
6037239702,"Census Tract 2397.02, Los Angeles County, California",2837,0,1245,14,4096
6073003601,"Census Tract 36.01, San Diego County, California",2476,0,320,76,2877
6037228100,"Census Tract 2281, Los Angeles County, California",5042,0,434,0,5476
6037292000,"Census Tract 2920, Los Angeles County, California",3465,996,749,569,6314
6037434001,"Census Tract 4340.01, Los Angeles County, California",3418,724,7,123,4284
6037122122,"Census Tract 1221.22, Los Angeles County, California",2493,26,0,133,2652
6099001500,"Census Tract 15, Stanislaus County, California",4152,616,132,2458,7610
